,,Price USD,Price USD
,,sum,count
Item Name, Type,,
USP-S | Forest Leaves,sale,0.1,1
USP-S | Black Lotus,sale,0.4,1
UMP-45 | Gunsmoke,sale,0.07,1
UMP-45 | Facility Dark,purchase,0.08,2
UMP-45 | Carbon Fiber,sale,0.25,2
The Elite Mr. Muhlik | Elite Crew,purchase,45.31,2
Tec-9 | Urban DDPAT,purchase,0.1,2
Tec-9 | Sandstorm,sale,0.12,1
Tec-9 | Sandstorm,purchase,1.5,10
Tec-9 | Red Quartz,sale,1.6199999999999999,9
Tec-9 | Red Quartz,purchase,2.3000000000000003,10
Tec-9 | Isaac,sale,2.6100000000000003,2
Tec-9 | Groundwater,sale,0.02,1
Tec-9 | Brother,sale,0.69,1
Stockholm 2021 Nuke Souvenir Package,sale,5.2,2
Stockholm 2021 Champions Autograph Capsule,sale,58.089999999999996,199
Stockholm 2021 Ancient Souvenir Package,sale,2.8,1
"Sticker | ropz (Glitter, Champion) | Antwerp 2022",sale,0.04,1
Sticker | electroNic (Holo) | Stockholm 2021,sale,0.05,1
Sticker | Vitality (Holo) | Paris 2023,sale,5.8999999999999995,10
Sticker | Vitality (Holo) | Paris 2023,purchase,32.31,10
Sticker | Vitality (Glitter) | Antwerp 2022,sale,0.05,1
"Sticker | Twistzz (Gold, Champion) | Antwerp 2022",sale,7.0,1
Sticker | Team Liquid (Holo) | Paris 2023,sale,5.67,7
Sticker | Team Liquid (Holo) | Paris 2023,purchase,25.89,7
Sticker | Taste Bud,sale,1.0,4
Sticker | Spirit (Holo) | 2020 RMR,sale,2.0,4
Sticker | PGL | Antwerp 2022,sale,0.01,1
Sticker | Outsiders (Holo) | Rio 2022,sale,10.36,4
Sticker | Outsiders (Holo) | Rio 2022,purchase,49.56,4
Sticker | Lefty (T),sale,0.2,4
Sticker | Lefty (CT),sale,0.16,4
Sticker | GODSENT | 2020 RMR,sale,0.03,1
Sticker | G2 | 2020 RMR,sale,0.03,1
Sticker | G2 Esports | Antwerp 2022,sale,0.01,1
Sticker | G2 Esports (Glitter) | Antwerp 2022,sale,0.25,1
Sticker | G2 (Holo) | 2020 RMR,sale,0.15,1
Sticker | From The Deep,sale,0.96,3
Sticker | Fly High,sale,0.42,2
Sticker | Flex,sale,1.38,2
Sticker | FaZe Clan (Holo) | Paris 2023,sale,6.949999999999999,5
Sticker | FaZe Clan (Holo) | Paris 2023,purchase,12.79,5
